(Rough) border of milan flying park
Total points: 12
42.09196219463976 -83.6613598524256 75
42.09474309293576 -83.65695758624821 75
42.09476807005454 -83.65172594965881 75
42.0916169090375 -83.65162484173135 75
42.09124176040073 -83.64704128546143 75
42.0889576383329 -83.64758489919171 75
42.08890113486219 -83.65286389879842 75
42.08843027064897 -83.65316845646804 75
42.08846793991464 -83.65519884093214 75
42.091482731397434 -83.65518869960627 75
42.09164559849926 -83.65661528964921 75
42.0921206251576 -83.65657871041734 75
